frame_id,pixel_0,pixel_1,pixel_2,pixel_3,pixel_4,pixel_5,pixel_6,pixel_7,pixel_8,pixel_9,pixel_10,pixel_11,pixel_12,pixel_13,pixel_14,pixel_15,pixel_16,pixel_17,pixel_18,pixel_19,pixel_20,pixel_21,pixel_22,pixel_23,pixel_24,pixel_25,pixel_26,pixel_27,pixel_28,pixel_29,pixel_30,pixel_31,pixel_32,pixel_33,pixel_34,pixel_35,pixel_36,pixel_37,pixel_38,pixel_39,pixel_40,pixel_41,pixel_42,pixel_43,pixel_44,pixel_45,pixel_46,pixel_47,pixel_48,pixel_49,pixel_50,pixel_51,pixel_52,pixel_53,pixel_54,pixel_55,pixel_56,pixel_57,pixel_58,pixel_59,pixel_60,pixel_61,pixel_62,pixel_63
0,25.0,24.25,25.0,24.75,25.25,24.75,24.0,25.25,24.5,24.5,24.0,24.25,24.0,24.25,24.25,23.5,25.25,24.25,24.0,23.5,24.0,23.5,23.25,23.75,24.75,23.5,24.5,23.75,23.25,23.5,23.25,24.0,24.25,24.0,23.75,23.75,24.25,23.5,23.5,23.5,23.75,23.75,23.5,23.75,23.5,23.5,23.25,23.5,24.75,24.5,24.0,23.5,23.75,24.25,23.5,22.75,23.5,24.25,24.25,24.5,24.25,24.25,23.0,22.75
1,24.5,24.25,24.25,25.0,24.5,24.25,23.5,25.0,24.75,24.0,23.75,24.75,24.5,24.0,24.25,24.0,25.25,24.5,24.0,24.0,23.75,23.75,23.5,24.0,24.75,24.0,24.25,23.75,23.5,23.5,23.75,24.0,24.25,23.25,24.25,24.0,23.75,23.75,24.0,24.0,24.25,23.5,24.0,24.0,24.0,23.75,23.75,23.75,25.0,24.0,24.0,23.75,24.25,24.25,23.25,23.5,24.0,24.0,24.25,24.5,24.25,25.0,22.5,22.75
2,24.5,23.75,24.75,24.75,24.25,24.0,23.75,24.75,24.75,23.25,24.25,24.0,24.25,24.0,23.75,23.5,24.75,23.75,24.0,24.0,23.5,23.25,24.0,23.5,24.5,23.75,24.0,23.5,23.25,23.5,23.75,23.75,24.0,23.5,24.25,23.25,23.75,23.25,23.25,23.5,24.5,23.5,23.5,23.75,23.25,23.5,23.0,23.0,23.75,23.5,24.0,23.5,23.25,23.75,23.25,23.0,22.75,24.5,24.0,24.75,24.0,24.5,22.5,21.75
3,24.0,24.5,24.5,24.75,24.75,24.5,23.75,24.5,25.0,23.5,24.25,25.0,24.25,24.25,23.75,24.5,25.5,24.5,23.75,23.75,24.0,23.25,23.25,24.5,23.75,23.5,24.25,23.75,23.5,23.25,23.75,23.75,23.75,23.0,24.0,23.75,23.5,23.5,23.5,23.75,24.0,24.0,23.5,23.75,23.75,23.25,23.0,23.0,24.0,23.75,23.75,23.75,24.0,24.0,23.25,23.0,23.25,23.75,24.25,24.0,24.25,24.75,22.5,22.5
4,24.0,24.25,24.5,24.75,24.5,24.25,23.25,24.25,25.0,23.0,24.25,24.0,23.75,23.5,23.0,23.5,24.25,24.0,23.25,24.25,23.25,23.5,23.5,24.0,24.25,23.75,24.25,23.75,23.25,23.5,23.5,24.0,23.75,23.25,23.0,23.75,23.5,23.5,23.0,23.75,23.75,23.75,23.75,23.75,23.25,23.5,22.5,23.5,24.0,23.25,23.0,23.5,23.75,24.0,22.75,22.5,23.0,23.5,24.0,24.25,24.0,24.5,22.75,21.5
5,24.25,24.5,24.5,24.5,24.25,24.0,23.25,24.25,24.25,24.25,24.0,24.0,23.25,23.75,24.0,23.25,24.75,24.25,23.25,23.5,23.5,23.5,23.5,23.5,24.5,23.75,24.25,23.5,23.0,23.75,23.5,23.75,24.0,23.75,24.0,23.25,23.5,23.5,22.75,24.0,23.75,23.5,23.25,24.0,23.75,23.75,23.0,23.75,24.25,24.25,23.75,23.75,23.75,23.75,23.25,23.25,25.0,24.0,24.0,24.5,23.75,24.75,22.75,23.75
6,24.25,24.0,24.5,24.75,24.25,24.0,23.5,24.5,24.75,23.75,24.0,24.5,24.25,24.25,23.75,23.5,24.75,24.25,23.5,24.0,23.5,23.75,23.5,23.75,24.75,23.75,24.5,23.5,23.0,23.5,23.0,23.75,23.25,23.5,23.75,23.75,23.5,23.0,23.0,23.75,23.75,24.0,23.75,23.75,23.5,23.25,23.25,23.25,24.0,23.75,23.75,23.75,23.5,24.0,23.0,23.5,24.5,24.25,24.5,25.0,24.5,24.75,22.75,23.5
7,25.0,24.5,23.75,25.0,23.75,23.75,24.0,24.25,25.0,24.0,24.0,24.25,24.0,24.25,23.75,23.0,25.5,24.0,23.5,23.75,23.0,23.75,23.25,24.0,24.5,23.5,24.25,23.75,23.25,23.5,24.0,24.0,24.25,24.0,24.0,23.75,23.0,24.0,23.25,24.25,24.75,23.75,23.75,24.0,23.5,23.75,22.75,24.0,24.0,23.75,23.75,23.5,23.75,23.75,23.5,23.25,24.5,24.0,23.75,24.5,24.25,24.5,22.75,22.5
8,25.0,24.25,24.5,24.5,24.25,24.25,23.5,24.5,24.75,24.0,24.25,24.75,24.0,24.25,24.0,24.0,25.25,25.0,24.0,24.0,23.75,23.5,23.5,23.5,24.75,23.75,24.5,23.75,23.75,24.0,23.75,23.75,23.75,24.25,23.5,23.75,24.25,23.75,23.5,23.75,23.5,24.0,23.75,24.25,23.25,24.0,23.0,23.5,24.25,24.25,24.0,23.75,24.0,23.5,24.0,22.75,24.25,24.0,24.5,25.0,24.75,24.25,23.75,22.75
9,24.0,23.75,25.0,24.75,24.75,24.25,23.25,24.5,24.0,23.75,24.25,25.0,24.0,24.0,23.75,23.5,24.75,24.25,24.0,24.0,23.75,24.0,23.75,24.0,24.75,24.0,24.5,23.5,23.75,23.5,23.75,23.5,23.75,23.75,23.5,23.75,23.75,23.75,23.0,24.25,24.25,24.25,24.0,23.75,23.5,23.75,23.25,23.5,24.0,24.25,24.0,24.0,23.5,24.75,23.25,23.5,24.25,24.25,24.0,24.25,25.0,24.75,23.75,22.75
